2015-08-27T00:00, MAR-CAN TRANSPORT CO. INC, 2.6, BORO TRANSIT, 2.0, NEW DAWN TRANSIT, 1.9999999999999998, LOGAN BUS COMPANY INC., 1.8, RELIANT TRANS, 1.2000000000000002
2015-09-03T00:00, RELIANT TRANS, 37.6, PIONEER TRANSPORTATION CO, 27.5, BORO TRANSIT, 24.6, LEESEL TRANSP CORP , 24.4, G.V.C., 20.799999999999997
2015-09-10T00:00, LEESEL TRANSP CORP , 55.8, RELIANT TRANS, 54.199999999999996, PIONEER TRANSPORTATION CO, 40.199999999999996, G.V.C., 38.0, BORO TRANSIT, 29.6
2015-09-17T00:00, G.V.C., 71.7, RELIANT TRANS, 53.6, PIONEER TRANSPORTATION CO, 43.4, BORO TRANSIT, 41.0, LEESEL TRANSP CORP , 33.0
2015-09-24T00:00, RELIANT TRANS, 61.2, G.V.C., 40.7, PIONEER TRANSPORTATION CO, 33.5, NEW DAWN TRANSIT, 29.700000000000003, LITTLE RICHIE BUS SERVICE, 24.1
2015-10-01T00:00, G.V.C., 66.7, PIONEER TRANSPORTATION CO, 55.099999999999994, NEW DAWN TRANSIT, 38.2, RELIANT TRANS, 37.9, LITTLE RICHIE BUS SERVICE, 27.5
2015-10-08T00:00, RELIANT TRANS, 65.3, G.V.C., 58.0, NEW DAWN TRANSIT, 39.7, PIONEER TRANSPORTATION CO, 33.5, MAR-CAN TRANSPORT CO. INC, 32.699999999999996
2015-10-15T00:00, RELIANT TRANS, 75.39999999999999, G.V.C., 74.3, LEESEL TRANSP CORP , 51.3, NEW DAWN TRANSIT, 41.0, BORO TRANSIT, 35.1
2015-10-22T00:00, G.V.C., 82.1, LEESEL TRANSP CORP , 78.7, RELIANT TRANS, 66.3, PIONEER TRANSPORTATION CO, 52.5, BORO TRANSIT, 41.7
2015-10-29T00:00, LEESEL TRANSP CORP , 57.9, G.V.C., 45.3, RELIANT TRANS, 40.4, PIONEER TRANSPORTATION CO, 28.700000000000003, NEW DAWN TRANSIT, 27.0
2015-11-05T00:00, LEESEL TRANSP CORP , 62.699999999999996, RELIANT TRANS, 47.1, PIONEER TRANSPORTATION CO, 29.1, G.V.C., 28.0, NEW DAWN TRANSIT, 24.1
2015-11-12T00:00, LEESEL TRANSP CORP , 69.7, RELIANT TRANS, 55.599999999999994, G.V.C., 45.7, BORO TRANSIT, 39.4, NEW DAWN TRANSIT, 36.4
2015-11-19T00:00, RELIANT TRANS, 64.6, LEESEL TRANSP CORP , 60.0, G.V.C., 55.0, NEW DAWN TRANSIT, 50.099999999999994, PIONEER TRANSPORTATION CO, 27.7
2015-11-26T00:00, RELIANT TRANS, 46.1, LEESEL TRANSP CORP , 41.2, G.V.C., 36.7, PIONEER TRANSPORTATION CO, 33.2, BORO TRANSIT, 25.5
2015-12-03T00:00, LEESEL TRANSP CORP , 63.4, RELIANT TRANS, 60.1, G.V.C., 56.6, NEW DAWN TRANSIT, 30.6, PIONEER TRANSPORTATION CO, 29.9
2015-12-10T00:00, G.V.C., 59.8, LEESEL TRANSP CORP , 43.699999999999996, NEW DAWN TRANSIT, 42.400000000000006, RELIANT TRANS, 36.8, PIONEER TRANSPORTATION CO, 35.599999999999994
2015-12-17T00:00, NEW DAWN TRANSIT, 58.89999999999999, G.V.C., 52.3, RELIANT TRANS, 45.0, PIONEER TRANSPORTATION CO, 34.5, BORO TRANSIT, 17.400000000000002
2015-12-24T00:00, HAPPY CHILD TRANS LLC , 1.7999999999999998, BORO TRANSIT, 0.9, RELIANT TRANS, 0.6, LORISSA BUS SERVICE INC., 0.5, QUALITY TRANSPORTATION CO, 0.3
2015-12-31T00:00, RELIANT TRANS, 48.8, LITTLE RICHIE BUS SERVICE, 39.3, PIONEER TRANSPORTATION CO, 31.8, NEW DAWN TRANSIT, 31.5, BORO TRANSIT, 28.1
2016-01-07T00:00, RELIANT TRANS, 65.8, NEW DAWN TRANSIT, 56.9, G.V.C., 39.0, BORO TRANSIT, 36.2, PIONEER TRANSPORTATION CO, 32.199999999999996
