2015-09-01T00:00, CAREFUL BUS, 0.6, THOMAS BUSES INC , 0.5, G.V.C., 0.4, LORINDA ENT. LTD., 0.3, LEESEL TRANSP CORP , 0.3
2015-09-02T00:00, MAR-CAN TRANSPORT CO. INC, 2.6, BORO TRANSIT, 2.0, NEW DAWN TRANSIT, 1.9999999999999998, LOGAN BUS COMPANY INC., 1.8, RELIANT TRANS, 1.2000000000000002
2015-09-03T00:00, BORO TRANSIT, 1.8, RELIANT TRANS, 1.3, MAR-CAN TRANSPORT CO. INC, 1.2, LOGAN BUS COMPANY INC., 0.6, ACME BUS CORP. , 0.3
2015-09-04T00:00, RELIANT TRANS, 1.0, MAR-CAN TRANSPORT CO. INC, 0.8999999999999999, LOGAN BUS COMPANY INC., 0.3, CHILDREN`S TRANS INC. , 0.2, LORINDA ENT. LTD., 0.2
2015-09-08T00:00, RELIANT TRANS, 10.5, BORO TRANSIT, 4.8, G.V.C., 4.800000000000001, LEESEL TRANSP CORP , 4.5, SNT BUS INC, 2.5
2015-09-09T00:00, PIONEER TRANSPORTATION CO, 25.4, RELIANT TRANS, 24.799999999999997, LEESEL TRANSP CORP , 19.299999999999997, BORO TRANSIT, 17.8, G.V.C., 16.0
2015-09-10T00:00, RELIANT TRANS, 21.1, LEESEL TRANSP CORP , 18.2, BORO TRANSIT, 13.700000000000001, PIONEER TRANSPORTATION CO, 11.6, G.V.C., 9.2
2015-09-11T00:00, LEESEL TRANSP CORP , 17.6, PIONEER TRANSPORTATION CO, 14.5, RELIANT TRANS, 13.4, LITTLE RICHIE BUS SERVICE, 6.7, G.V.C. LTD. , 6.199999999999999
2015-09-14T00:00, G.V.C., 3.9, PIONEER TRANSPORTATION CO, 0.8, BORO TRANSIT, 0.5, ACME BUS CORP. , 0.3, NEW DAWN TRANSIT, 0.3
2015-09-15T00:00, G.V.C., 5.6, MAR-CAN TRANSPORT CO. INC, 0.8999999999999999, BORO TRANSIT, 0.7, B & F SKILLED INC., 0.6, ALL AMERICAN SCHOOL BUS C, 0.5
2015-09-16T00:00, LEESEL TRANSP CORP , 20.0, RELIANT TRANS, 19.7, G.V.C., 15.299999999999999, LITTLE RICHIE BUS SERVICE, 14.7, PIONEER TRANSPORTATION CO, 13.299999999999999
2015-09-17T00:00, LEESEL TRANSP CORP , 18.2, G.V.C., 16.599999999999998, RELIANT TRANS, 15.6, PIONEER TRANSPORTATION CO, 13.6, BORO TRANSIT, 11.8
2015-09-18T00:00, G.V.C., 18.7, RELIANT TRANS, 12.799999999999999, LEESEL TRANSP CORP , 9.799999999999999, PIONEER TRANSPORTATION CO, 9.7, BORO TRANSIT, 9.3
2015-09-21T00:00, G.V.C., 17.2, RELIANT TRANS, 15.5, PIONEER TRANSPORTATION CO, 13.9, BORO TRANSIT, 12.200000000000001, NEW DAWN TRANSIT, 8.5
2015-09-22T00:00, G.V.C., 16.5, RELIANT TRANS, 9.7, BORO TRANSIT, 7.5, NEW DAWN TRANSIT, 6.9, PIONEER TRANSPORTATION CO, 6.2
2015-09-23T00:00, G.V.C., 2.1, JOFAZ TRANSPORTATION INC., 1.2, VAN TRANS LLC , 0.3, SNT BUS INC, 0.2, DON THOMAS BUSES, 0.2
2015-09-24T00:00, MAR-CAN TRANSPORT CO. INC, 2.1999999999999997, G.V.C., 1.7, BORO TRANSIT, 1.6, NEW DAWN TRANSIT, 1.2, RELIANT TRANS, 1.1
2015-09-25T00:00, RELIANT TRANS, 15.600000000000001, LITTLE RICHIE BUS SERVICE, 11.7, NEW DAWN TRANSIT, 9.299999999999999, G.V.C., 8.3, PIONEER TRANSPORTATION CO, 6.7
2015-09-28T00:00, RELIANT TRANS, 14.7, BORO TRANSIT, 7.9, PIONEER TRANSPORTATION CO, 7.6, G.V.C., 7.2, LEESEL TRANSP CORP , 6.3
2015-09-29T00:00, RELIANT TRANS, 15.0, G.V.C., 11.6, NEW DAWN TRANSIT, 9.2, PIONEER TRANSPORTATION CO, 8.7, MAR-CAN TRANSPORT CO. INC, 8.5
2015-09-30T00:00, RELIANT TRANS, 14.8, G.V.C., 11.9, PIONEER TRANSPORTATION CO, 10.5, MAR-CAN TRANSPORT CO. INC, 7.0, HAPPY CHILD TRANS LLC , 5.9
2015-10-01T00:00, G.V.C., 10.6, PIONEER TRANSPORTATION CO, 9.0, NEW DAWN TRANSIT, 8.7, RELIANT TRANS, 7.0, BORO TRANSIT, 4.0
2015-10-02T00:00, G.V.C., 15.100000000000001, PIONEER TRANSPORTATION CO, 14.100000000000001, RELIANT TRANS, 6.4, LITTLE RICHIE BUS SERVICE, 5.9, HAPPY CHILD TRANS LLC , 4.8
2015-10-05T00:00, NEW DAWN TRANSIT, 12.100000000000001, PIONEER TRANSPORTATION CO, 11.8, G.V.C., 9.8, RELIANT TRANS, 7.8999999999999995, MAR-CAN TRANSPORT CO. INC, 6.4
2015-10-06T00:00, G.V.C., 15.1, PIONEER TRANSPORTATION CO, 10.5, BORO TRANSIT, 7.2, RELIANT TRANS, 6.2, NEW DAWN TRANSIT, 5.699999999999999
2015-10-07T00:00, G.V.C., 15.8, RELIANT TRANS, 10.399999999999999, PIONEER TRANSPORTATION CO, 9.7, LITTLE RICHIE BUS SERVICE, 8.4, NEW DAWN TRANSIT, 6.6
2015-10-08T00:00, G.V.C., 15.6, RELIANT TRANS, 13.3, NEW DAWN TRANSIT, 9.0, MAR-CAN TRANSPORT CO. INC, 6.199999999999999, PIONEER TRANSPORTATION CO, 6.0
2015-10-09T00:00, RELIANT TRANS, 13.1, G.V.C., 10.2, MAR-CAN TRANSPORT CO. INC, 6.9, NEW DAWN TRANSIT, 6.299999999999999, PIONEER TRANSPORTATION CO, 6.1
2015-10-13T00:00, G.V.C., 16.1, RELIANT TRANS, 15.0, HAPPY CHILD TRANS LLC , 10.4, LITTLE RICHIE BUS SERVICE, 9.899999999999999, MAR-CAN TRANSPORT CO. INC, 9.799999999999999
2015-10-14T00:00, RELIANT TRANS, 23.900000000000002, G.V.C., 16.1, NEW DAWN TRANSIT, 16.1, PIONEER TRANSPORTATION CO, 14.399999999999999, HAPPY CHILD TRANS LLC , 10.4
2015-10-15T00:00, G.V.C., 31.3, RELIANT TRANS, 17.2, NEW DAWN TRANSIT, 12.0, BORO TRANSIT, 11.799999999999999, LEESEL TRANSP CORP , 9.600000000000001
2015-10-16T00:00, G.V.C., 0.8, HAPPY CHILD TRANS LLC , 0.6, RELIANT TRANS, 0.5, L & M BUS CORP , 0.4, ACME BUS CORP. , 0.3
2015-10-19T00:00, G.V.C., 24.299999999999997, RELIANT TRANS, 20.299999999999997, NEW DAWN TRANSIT, 16.599999999999998, LEESEL TRANSP CORP , 14.799999999999999, LITTLE RICHIE BUS SERVICE, 12.399999999999999
2015-10-20T00:00, LEESEL TRANSP CORP , 24.5, RELIANT TRANS, 21.0, G.V.C., 13.2, NEW DAWN TRANSIT, 11.5, LITTLE RICHIE BUS SERVICE, 8.0
2015-10-21T00:00, RELIANT TRANS, 16.4, PIONEER TRANSPORTATION CO, 5.0, G.V.C., 4.7, DON THOMAS BUSES, 4.0, MAR-CAN TRANSPORT CO. INC, 3.8
2015-10-22T00:00, G.V.C., 21.4, RELIANT TRANS, 13.799999999999999, LITTLE RICHIE BUS SERVICE, 12.200000000000001, NEW DAWN TRANSIT, 10.700000000000001, LOGAN BUS COMPANY INC., 10.4
2015-10-23T00:00, LEESEL TRANSP CORP , 26.499999999999996, RELIANT TRANS, 21.2, G.V.C., 20.0, NEW DAWN TRANSIT, 13.200000000000001, BORO TRANSIT, 11.2
2015-10-26T00:00, LEESEL TRANSP CORP , 17.299999999999997, G.V.C., 15.0, PIONEER TRANSPORTATION CO, 12.6, RELIANT TRANS, 9.9, LITTLE RICHIE BUS SERVICE, 9.8
2015-10-27T00:00, G.V.C., 14.299999999999999, LEESEL TRANSP CORP , 10.899999999999999, PIONEER TRANSPORTATION CO, 10.8, RELIANT TRANS, 9.200000000000001, BORO TRANSIT, 9.1
2015-10-28T00:00, LEESEL TRANSP CORP , 13.7, RELIANT TRANS, 12.2, BORO TRANSIT, 11.8, G.V.C., 10.8, LITTLE RICHIE BUS SERVICE, 8.299999999999999
2015-10-29T00:00, LEESEL TRANSP CORP , 16.099999999999998, G.V.C., 15.299999999999999, PIONEER TRANSPORTATION CO, 10.799999999999999, RELIANT TRANS, 10.6, MAR-CAN TRANSPORT CO. INC, 8.0
2015-10-30T00:00, LEESEL TRANSP CORP , 13.5, RELIANT TRANS, 8.7, G.V.C., 7.8, PIONEER TRANSPORTATION CO, 6.3, NEW DAWN TRANSIT, 5.699999999999999
2015-11-02T00:00, LEESEL TRANSP CORP , 14.3, RELIANT TRANS, 11.2, G.V.C., 10.5, NEW DAWN TRANSIT, 8.2, HAPPY CHILD TRANS LLC , 5.800000000000001
2015-11-03T00:00, G.V.C., 2.1, BORO TRANSIT, 2.0, SNT BUS INC, 1.8, RELIANT TRANS, 1.7999999999999998, B & F SKILLED INC., 1.5
2015-11-04T00:00, LEESEL TRANSP CORP , 13.7, G.V.C., 9.6, RELIANT TRANS, 8.1, HAPPY CHILD TRANS LLC , 6.6, BORO TRANSIT, 6.0
2015-11-05T00:00, LEESEL TRANSP CORP , 18.9, RELIANT TRANS, 12.2, G.V.C., 10.0, HAPPY CHILD TRANS LLC , 7.0, CONSOLIDATED BUS TRANS. I, 5.5
2015-11-06T00:00, LEESEL TRANSP CORP , 13.7, PIONEER TRANSPORTATION CO, 7.9, HAPPY CHILD TRANS LLC , 6.9, RELIANT TRANS, 6.6, NEW DAWN TRANSIT, 6.199999999999999
2015-11-09T00:00, RELIANT TRANS, 15.5, LEESEL TRANSP CORP , 13.6, PIONEER TRANSPORTATION CO, 8.299999999999999, BORO TRANSIT, 5.9, NEW DAWN TRANSIT, 5.8
2015-11-10T00:00, LEESEL TRANSP CORP , 16.5, RELIANT TRANS, 13.399999999999999, NEW DAWN TRANSIT, 7.9, G.V.C., 7.6, PIONEER TRANSPORTATION CO, 7.0
2015-11-12T00:00, LEESEL TRANSP CORP , 16.7, RELIANT TRANS, 12.1, BORO TRANSIT, 11.4, G.V.C., 9.3, MAR-CAN TRANSPORT CO. INC, 6.8999999999999995
2015-11-13T00:00, LEESEL TRANSP CORP , 14.7, RELIANT TRANS, 13.0, G.V.C., 9.899999999999999, NEW DAWN TRANSIT, 9.5, BORO TRANSIT, 7.6000000000000005
2015-11-16T00:00, LEESEL TRANSP CORP , 13.6, BORO TRANSIT, 12.200000000000001, RELIANT TRANS, 8.9, HAPPY CHILD TRANS LLC , 8.4, G.V.C., 7.8
2015-11-17T00:00, LEESEL TRANSP CORP , 13.2, G.V.C., 10.6, PIONEER TRANSPORTATION CO, 10.5, RELIANT TRANS, 10.5, NEW DAWN TRANSIT, 6.8
2015-11-18T00:00, LEESEL TRANSP CORP , 11.499999999999998, RELIANT TRANS, 11.100000000000001, G.V.C., 8.7, NEW DAWN TRANSIT, 8.2, PIONEER TRANSPORTATION CO, 4.6000000000000005
2015-11-19T00:00, G.V.C., 11.4, LEESEL TRANSP CORP , 11.299999999999999, RELIANT TRANS, 11.0, NEW DAWN TRANSIT, 8.399999999999999, BORO TRANSIT, 5.4
